tslaicon,磁暴线圈
ttnkicon,磁能坦克
ttnkuico,磁能坦克
pupticon,心灵控制器
pdomicon,心灵控制
lunricon,登月火箭员
lunruico,登月火箭员
ypwricon,生化反应炉
sealicon,海豹部队
sealuico,海豹部队
teleicon,磁电坦克
teleuico,磁电坦克
gdgiicon,重装大兵
gdgiuico,重装大兵
shadicon,夜鹰直升机
shaduico,夜鹰直升机
adogicon,警犬
adoguico,警犬
agisicon,神盾巡洋舰
aparicon,空降部队
dogicon,警犬
doguico,警犬
ccomicon,时空突击队
ccomuico,时空突击队
ayaricon,造船厂
yardicon,船坞
yyrdicon,海军船坞
beagicon,黑鹰战机
carricon,航空母舰
chroicon,超时空传送
clegicon,时空军团兵
cleguico,时空军团兵
clonicon,复制中心
csphicon,时空传送仪
desoicon,辐射工兵
desouico,辐射工兵
desticon,驱逐舰
zepicon,基洛夫空艇
zepuico,基洛夫空艇
xxicon,缺少图标
